Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
pinokio umur 3 tahun itu 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
cerita silat lae macam kho merah muda oh yang dari indonesia tapi liang ie shen tulis dari cina,0,0,0,0,0,0,0,0,0,0,0,0
benci sekali dengan umat islam,1,0,0,1,1,0,0,0,0,0,1,0
provokasi mayat politisasi agama sebab kalah pilih kepala daerah daerah khusus ibukota begini cara deskripsi kalah junjung for your information ahok belum pernah ikut pilih apa camat jadi wakil dan dia bukan etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
dari pada gue,0,1,0,0,0,0,0,0,0,0,0,0
wkwk lowo,1,1,0,1,0,0,0,0,1,0,1,0
takabur bisa lahir dari siapa saja kuasa rakyat ulama maupun cendikia bahkan makhluk yang alim amp telah ibadah atus ratus tahun laknat karena hasud takabur apalagi hanya orang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
a orang yang suka ke konser konser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0
sampai kapan makan racun banyak ulama yang kata hukum rokok mubah dan ada juga,0,0,0,0,0,0,0,0,0,0,0,0
susilo bambang yudhoyono presiden ri ke 6 minta khofifah emil untuk dekat dengan masyarakat no 1 bisa bagus khofifah emil nomor satu,0,0,0,0,0,0,0,0,0,0,0,0
sudah biasa kali gue gemar korea pop tapi kalau omong sama teman teman gue idol gue,1,1,1,0,0,0,0,1,0,1,0,0
saya suka video uniform resource locator awal kisah seteru haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
budaya sungguh kalau hal hal islam tidak indah,0,0,0,0,0,0,0,0,0,0,0,0
lah lah lah hem hem semua diam semua dan kita coba tanya sama rumput yang goyang dan,0,0,0,0,0,0,0,0,0,0,0,0
apabila bisik was was kepada minta lindung kepada allah qs al a raf 200 dan fussilat 36,0,0,0,0,0,0,0,0,0,0,0,0
kalau kamu apa sibuk dengan agama orang,0,0,0,0,0,0,0,0,0,0,0,0
lengser jokowi,1,1,1,0,0,0,0,0,1,0,0,1
selamat hari kakak ini 2019 ganti presiden 2019 presiden baru,0,0,0,0,0,0,0,0,0,0,0,0
hati hati hadap anak anak kita utama di kamar mandi laki laki jangan biar sendiri uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
iya,1,1,1,0,0,0,0,0,1,1,0,0
karena budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
yang ajar salat a saja itu orang dia hanya ingin pecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
x kamu bicara saja tidak benar,1,1,1,0,0,0,0,0,1,1,0,0
kita semua tidak pernah akan percaya yang negara kita di suatu hari nanti akan jajah oleh ke ranah dapat kasus kasus bubar sistem sistem beraja di negara kita kini untuk jadi bagai negara republik padahal negara negara jaja,0,0,0,0,0,0,0,0,0,0,0,0
tapi masih nikmat bijak yang dulu usul partai indonesia lah iya apa,1,0,0,1,0,1,0,0,0,0,1,0
kalau umpama orang cina di usir paksa dari indonesia bagaimana,1,0,0,1,0,1,0,0,0,0,1,0
bunda yuk,0,1,0,0,0,0,0,0,0,0,0,0
cina cina maling dan usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1
bung karno anti dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti atau pro karena kebo ohannya dan kalau kami keliru kami tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
proyek korupsi susilo bambang yudhoyono uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka campur bahas indonesia dengan bahas tiap kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
ab pribadi yang senang kompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0
terus turut kamu kitab suci agama apa yang di bilang om dadak kalap,1,0,1,0,0,0,0,0,1,1,0,0
suka tutup mata tidak tutup pun sudah lihat te utup gara gara,0,0,0,0,0,0,0,0,0,0,0,0
saya bagai muslim tidak rasa pak nista kitab suci alquran an karena dalam alquran an sendiri ada beberapa suku kata yang sampai detik ini belum tahu makna faktual oleh umat islam tetapi kami yaitu kata sebut ada makna yang sirat fiksi yang belum,0,0,0,0,0,0,0,0,0,0,0,0
eh kasar kamu,1,1,1,0,0,0,0,0,1,1,0,0
bentar lagi gue rilis album the si wkwk,0,0,0,0,0,0,0,0,0,0,0,0
ada bang dia rasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0
banget gue mentwit apa barusan he,0,1,0,0,0,0,0,0,0,0,0,0
kamu atau bagaimana uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
awas bintit kamu intip kucing,0,1,0,0,0,0,0,0,0,0,0,0
bawel bawa asa bolot baik bodor enggak jelas wkwk apa ya sudah itu saja deh,0,1,0,0,0,0,0,0,0,0,0,0
gue saran tidak perlu banyak maling ayat langsung to the point saja kamu jadi orang yang tidak paham kamu riak saja sesat liberal puja dukun bla blaaa pasti hati puas deh,1,1,1,0,1,0,0,0,0,1,0,0
jangan salah target bukan ahok agenda utama lengser jokowi,1,0,1,0,0,0,0,0,1,0,0,1
masa baru kena tagar saja sudah panas ingin tahu banget 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
huria kristen batak protestan diri itu sejak pecah kristen katolik pada zaman jajah belanda dulu tidak ada yang nama kristen protestan yang ada cuma kristen katolik jadi pecah dan diri huria kristen batak protestan yang p sama kali di tarutung dan nah sekarang anda saya k,0,0,0,0,0,0,0,0,0,0,0,0
apa apa banyak baca biar pintar jepang amerika cina utang sama siapa anda tau tidak,0,0,0,0,0,0,0,0,0,0,0,0
prabowo sudah kalah sebut bantu jokowi hanya citra adalah ratap pilu,1,0,1,0,0,0,0,0,1,1,0,0
dan yang takut dengan azan adalah,0,0,0,0,0,0,0,0,0,0,0,0
yang itu adalah tukang tipu jilat kuasa yang tahu gera masa yang bayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0
wah sewot dan,1,1,1,0,0,0,0,0,1,1,0,0
2 gera ini tekan penting kerja keras cara total untuk tingkat potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
padahal gubernur saat ini djarot mayoritas pak ai politik di dewan wakil rakyat daerah juga dukung ahok djarot payah ya mereka uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
rusak bukan baik sistem malah sibuk cari cari salah kalau itu pasti ketemu saja komisi berantas korupsi alat besok perintah ganti ulang kembali engah pernah selesai siapa organisasi orang,0,0,0,0,0,0,0,0,0,0,0,0
saat orang orang saling tuding sungguh be epuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
nah lah kata anti,0,0,0,0,0,0,0,0,0,0,0,0
selamat pak moga bisa terus kiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
asyik menang saya sih ikut ulama saja,0,0,0,0,0,0,0,0,0,0,0,0
yang saya tahu bahwa ketapang banyak tenaga kerja yang kerja di bagai usaha masuk pt who tambang bauksit yang viral saat pilih presiden dulu dan bisa jadi ini karena kerja sama sebut jadi di era gubernur cornelis dan wakil tidak,0,0,0,0,0,0,0,0,0,0,0,0
anak tidak jauh jauh dari hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
aku bom surat harga syariah negara,0,0,0,0,0,0,0,0,0,0,0,0
istirahat saja pak presiden momentum sudah lalu saya pernah jadi saksi telinga dan mata awal rapat bentuk pada di pacitan tahun 2003,0,0,0,0,0,0,0,0,0,0,0,0
pada 1979 house select committee on assassination hsca temu investigasi yang laku fbi dan warren commission hsca juga simpul ada empat tembak yang laku dan mungkin dapat konspirasi di dalam,0,0,0,0,0,0,0,0,0,0,0,0
tak asa genap 1 tahun datang 17 april 2018 akan gelar hajat pilih presiden acara tahun negara indonesia untuk pilih presiden moga senantiasa jalan aman dan lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
ian,0,1,0,0,0,0,0,0,0,0,0,0
aku orang pintar dan agama memang agama mana yang boleh nista dan hujat orang lain jangan orang orang yang maaf sejak lahir sekalipun dia kita harus harga bagai sama cipta tuhan ingat itu juga pintar dan sangat licik,0,1,0,0,0,0,0,0,0,0,0,0
daftar calon presiden untuk pilih presiden 2019 saja belum buka sampai agustus 2018 yang normatif begini politikus partai demokrasi indonesia juang masih belum paham 2019 ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0
sih sudah tau perintah ini bobrok koruptor bisa pimpin sidang dewan wakil rakyat paya uniform resource locator,1,1,1,0,0,1,0,0,0,1,0,0
dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu rasa sedih sampai pikir dan tidak bisa tidur lo dan gue rasa jadi anak yang saja begitu ke laki laki,0,1,0,0,0,0,0,0,0,0,0,0
cina usak bangsa usir tuju,1,0,0,1,0,1,0,0,0,0,0,1
2019 ganti presiden cara konstitusional hak tiap rakyat woiii begini nih kalau plonga plongo tapi laku otoriter,1,1,1,0,0,0,0,0,1,1,0,0
mari kita wujud pilih kepala daerah kota bengkulu 2018 aman dan damai cok adem86 98heru,0,0,0,0,0,0,0,0,0,0,0,0
mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantara kenapa tidak ada kristen nusantara buddha hindu bahkan kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
sama nyata moeldoko bukti istana takut dengan bangkit umat islam,0,0,0,0,0,0,0,0,0,0,0,0
cowok yang jago drasex mana sini sama adik luvian,0,1,0,0,0,0,0,0,0,0,0,0
kroasia itu tau apa ajar sama sudah lupa sama kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
lah bukan nya menteri suha o ada yang,1,1,1,0,0,0,0,1,0,1,0,0
gue tau lah bukan yang dulu yang masih dan takut semua orang pasti akan ubah perlahan lahan entah itu baik buruk,0,0,0,0,0,0,0,0,0,0,0,0
pada perang salib dulu itu raja di afrika bagi dua yakni babilonia peluk kristen dan tobaco peluk islam,0,0,0,0,0,0,0,0,0,0,0,0
kejar setor memang cukup mana rupiah turun,1,1,1,0,0,0,0,0,1,1,0,0
moga ini ada tindak lanjut lapor hadap nista agama adek armando akan laku langsung oleh ketua umum front bela islam kh shobri lubis ke badan reserse kriminal markas besar polisi republik indonesia gambir jaka a pusat pada selasa 10 4 pukul 13 00 waktu indonesia bagi barat perhaps,1,0,1,0,1,0,0,0,0,1,0,0
hajar,1,1,1,0,0,0,0,0,1,0,0,1
mati kalau banyak minum,1,0,0,1,0,0,0,0,1,0,1,0
uniform resource locator ahok tng mereka terus was was hidup,1,0,1,0,0,0,0,0,1,1,0,0
itu baru di sul teng ini ekses akibat sandera hutang cina 2019 ganti presiden 2019 presiden baru 2019 tetap jokowi ganti,1,0,1,0,0,0,0,0,1,1,0,0
6 pride yunani hyper phania angkuh harga diri sombong kenal juga dengan sebut hubris vanity harga diri yang tinggi dapat ubah manusia sombong sombong buat manusia mata tuhan dan dapat buat manusia cinta diri sendiri,0,0,0,0,0,0,0,0,0,0,0,0
aku be anya tuju pada hati logika yang jawab tapi hati tak tenang aku be anya pada logika hati sedih ku cari jawab dalam wasiat yang beliau tinggal dan aku mulai jadi asing dan di mata manusia tak apa duhai diri ada,0,0,0,0,0,0,0,0,0,0,0,0
tak hanya kurang be aji nya komisi berantas korupsi era ini tapi era ini juga komitmen dalam berantas korupsi tidak surat pemberitahuan tahun di era pak susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0
admin di pak ai kenapa ai untuk orang,1,1,0,1,0,0,0,0,1,0,1,0
ayu ting ting goyang hot dekat raffi ahmad nagita slavina norak uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
video tentang tenaga kerja buat oleh malaysia tapi kutip nyata saya di,0,0,0,0,0,0,0,0,0,0,0,0
ppp jangan buru buru tolak wacana pilih kepala daerah lewat dewan wakil rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0
random pagi pagi ada bapak bapak samper ke meja kerja terus tanya pakai bedak apa sih biar muka bersih istri saya butek soal ingin ku jawab pakai air wudhu tapi ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
kok gue,0,1,0,0,0,0,0,0,0,0,0,0
ingin sodok gede,0,1,0,0,0,0,0,0,0,0,0,0
jokowi saja yang mundur tutup uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
bicara apa itu mulut kok sepe i beli kaca dulu lihat diri bro,1,1,1,0,0,0,0,1,0,1,0,0
ada amin racist nada amat dan nada ratna sih paiiit nada sih nada sih lobang anus jadi jangan takut oi oi habis obat tenang ya,1,1,1,0,0,0,0,0,1,1,0,0
tunggu komando imam cabul bir dan kenapa kenapa bawa ulama dasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
kabinet beranta pecah belah satu hanya ada di ini,1,0,0,1,0,0,0,0,1,0,1,0
ih aku lebih pintar dari orang politik kaca dulu oi tampang kamu saja k k orang wkwk,1,1,1,0,0,0,1,0,0,1,0,0
partai demokrasi indonesia juang menang dengan tekan usaha tambang dengan target proyek yang impossible lalu lelang murah pada cina ntb contoh kasus partai demokrasi indonesia juang mau menang dasar,1,1,0,1,0,0,0,0,1,0,1,0
tidak percaya sama mulut mu bawang,1,1,1,0,0,0,0,0,1,1,0,0
2019 jika susilo bambang yudhoyono prabowo satu lawan mega jokowi maka peristiwa 2004 akan ulang mana partai demokrasi indonesia juang yang incumbent kalah mutlak oleh susilo bambang yudhoyono tetapi jika jokowi mega susilo bambang yudhoyono lawan prabowo mk pilih presiden selesai sudah jika 3 poros di pilih presiden mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
jangan kayak kaleng kamu gatot sering buat gaduh gentleman lah mundur siap saing di pilih presiden 2019 lawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
bebal,0,0,0,0,0,0,0,0,0,0,0,0
5 yang akhir karena indonesia negara dengan populasi muslim besar di dunia yang mana islam saat ini rupa musuh barat amp karena dapat hambat agenda dan penting mereka obviously,0,0,0,0,0,0,0,0,0,0,0,0
umuh begitu persib persib dan,1,1,0,1,0,0,0,0,1,0,1,0
buat film muslim pilih ahok mati enggak di salat jamin laris,1,0,1,0,0,0,0,0,1,1,0,0
tapi banu banu yahudi itu tentu beda dengan banu banu kristen suriah salah satu beda ada banu yahudi tetap pakai eloah elohim yahwe sedang suriah sudah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0
eh kenapa muka merah merah itu tak dapat cendol ke bukan lah cuaca sekarang nih panas,0,1,0,0,0,0,0,0,0,0,0,0
berita saracen diframing katak akan tim prabowo dan anies sandi benar itu media tumpah sakit hati katak dan ehe,1,1,0,1,0,0,0,0,1,0,1,0
giat bhayangkara bina aman dan tertib masyarakat brigadir polisi manajemen bas sekolah sihombing pada hari ini rabu 11 april 2018 laksana sambang desa dan tatap muka sekaligus pantau aman dan tertib masyarakat tuju pilih kepala daerah 2018 di desa lobusiregar i tepat di rumah rudi panjaitan helm siahaan dan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
sayang banget ya lihat perempuan kayak begini tidak ada status apa apa tetapi sudah tempel sama laki laki sana sini aduh nagita slavina blak blak sebut ayu ting ting viva uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
jangan lupa juga kang umat katolik dan minoritas lain perhati gubernur untuk semua golong bukan satu golong,0,0,0,0,0,0,0,0,0,0,0,0
kan saya bukan sudah bilang dari kemarin masih eyel situ paksa saya jadi,1,1,1,0,0,0,0,0,1,1,0,0
lemah gerindra itu ada di orang ini prabowo turun elektabilitasnya karena fadli zon surat pemberitahuan tahun durno,1,1,1,0,0,0,0,0,1,1,0,0
selamat hari kakak ini tiap kali selalu raya lalu apa makna kali ini,0,0,0,0,0,0,0,0,0,0,0,0
foto memang tetapi milik banyak a i yang susah dia ikan sama sepe i kamu susah dia ikan mau putus atau lanjut,0,0,0,0,0,0,0,0,0,0,0,0
wkwk aku sudah alam tiba muncul grub wa a dan abdi had a k a mbah dan ketika aku mek kenal beberapa orang saja,0,0,0,0,0,0,0,0,0,0,0,0
ayah pres badar dan nuqaba paling boekkk dia nih hebat dalam bidang agama x takut natural killer tegur member sendiri dan selalu buat lawak hambar yang paling aku ingat sampai sekarang lawak dia kalau orang cukup jom gerak sekarang dia akan gera badan dia yang chubby itu,0,0,0,0,0,0,0,0,0,0,0,0
orang anak pekan telah ilham dasar ekonomi baru deb dan jadi gerak utama kepada maju ekonomi luar bandar beliau adalah allah ya rahman tun abdul razak ds malaysia pilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
haha sialaaan nih sih nyata kalau lagi lapar presiden juga mau sikat sama dia,0,0,0,0,0,0,0,0,0,0,0,0
mau nasihat kali supaya tidak ugal ugalan nih eh tapi ini negeri sudah keburu hancur nah sekarang saja ekonomi moral meni kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
alah kebelet kenapa kasihan orang makin sayang saya pak telah kasus media sosial gue baru sadar beberapa hal di satu instansi kemarin nanti gue cerita duuuhhh,0,1,0,0,0,0,0,0,0,0,0,0
iya tadi,0,0,0,0,0,0,0,0,0,0,0,0
tahun 2019 rakyat makan aspal dan beton ini adalah solusi jitu kurang miskin ahli hanya 1 tukang tipu adalah begitu enggak ketulungan plonga plongo akibat optimisme lebih 2019 ganti presiden,1,1,0,1,0,0,0,0,1,0,1,0
aku pernah sempat baca tentang harun yahya ini yang belot ke kubu yahudi dengan freemason nya kadang suka tidak percaya,0,0,0,0,0,0,0,0,0,0,0,0
kita maju sama ulama kita gerak sama semua tokoh agama untuk indonesia ikut gus mus,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
mukidi terlalu percaya diri pe anyaan mudah ya jawab yang keras tapi saya minta jawab yang keras siapa nama saya,0,0,0,0,0,0,0,0,0,0,0,0
kemarin di hujat sekarang harap dasar para,1,1,0,1,0,0,0,0,1,0,1,0
jelas saya bukan fitnah sila ban apollinaris darmawan sebut al alquran kitab,1,1,0,1,1,0,0,0,0,0,1,0
saja koloe bilang saudara sama kamu pasti ogah hidup kok begini amat ya itu hati apa comberan,1,1,1,0,0,0,0,0,1,1,0,0
body lufra scrub dengan bahan dasar lidah untuk melembabkan kulit amp lebih cahaya info 087812026394 body mass index,0,0,0,0,0,0,0,0,0,0,0,0
tak punya di masa lalu karena belum masa lalu,0,0,0,0,0,0,0,0,0,0,0,0
jangan jangan anut bumi datar juga soal teori bumi bulat kan dari orang yang notabene musuh mereka,0,0,0,0,0,0,0,0,0,0,0,0
becak warga binjai hendak sita karena guna tenda be uliskan 2019 ganti presiden partai adil sejahtera radang bukti perintah panik dan takut,1,0,0,1,0,0,0,0,1,0,1,0
lebih baik jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0
musyawarah nasional alim ulama ppp di semarang hasil lima rekomendasi syarat dan kriteria kriteria bagi calon wakil presiden yang akan damping bapak jokowi di 2019 datang romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0
luar biasa cerah nya saya rasa gagal bagai anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0
kafan asal dari budaya yahudi kenapa umat islam klaim,0,0,0,0,0,0,0,0,0,0,0,0
oleh sekarang atas kendali negara cina yang jadi patron tunggal anti islam jokowi,1,0,0,1,1,1,0,0,0,0,1,0
itu tanda nya mau pilih kepala daerah dan pilih presiden,0,0,0,0,0,0,0,0,0,0,0,0
misi 4 bangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya jawa barat yang luhur nomor tiga jawa barat asyik asyik menang,0,0,0,0,0,0,0,0,0,0,0,0
tabah pasang dan taufik dan puan nurliyana yang wajar contoh jom kita beri sumbang untuk ringan beban pasang ini come on twitter do your pikir badan standar nasional 0510541000096745 bank islam 05058020145124 nurliyana bosan abdul razif,0,0,0,0,0,0,0,0,0,0,0,0
apa sih baru begitu doang belaganya sudah langit tidak ingat ada karma nanti beberapa tahun lagi kalau idol kamu flop gue tertawa paling keras,1,1,1,0,0,0,0,0,1,1,0,0
